date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2019-02-16,ED,2019-03-01,73.00,Put,0.00,0.10,0.1989,-0.0279,0.0209,-0.0068,0.0098,-0.0009
2019-02-16,ED,2019-03-01,75.50,Call,3.10,3.40,0.1782,0.8781,0.0738,-0.0243,0.0311,0.0252
2019-02-09,AAP,2019-02-15,160.00,Call,3.90,4.20,0.2945,0.6551,0.0557,-0.1815,0.0828,0.0196
2019-02-16,ED,2019-03-01,75.50,Put,0.10,0.25,0.1782,-0.1218,0.0742,-0.0192,0.0328,-0.0035
2019-02-09,AAP,2019-02-15,160.00,Put,1.45,1.70,0.2955,-0.3459,0.0558,-0.1721,0.0834,-0.0100
2019-02-16,ED,2019-03-01,77.00,Call,1.90,2.15,0.1726,0.7324,0.1240,-0.0350,0.0506,0.0213
2019-02-09,AAP,2019-02-15,165.00,Call,1.25,1.60,0.2745,0.3503,0.0600,-0.1674,0.0833,0.0106
2019-02-16,ED,2019-03-01,77.00,Put,0.35,0.50,0.1691,-0.2646,0.1269,-0.0292,0.0514,-0.0073
2019-02-09,AAP,2019-02-15,165.00,Put,3.80,4.10,0.2752,-0.6513,0.0605,-0.1579,0.0820,-0.0170
2019-02-16,ED,2019-03-01,78.50,Call,0.90,1.10,0.1561,0.5203,0.1661,-0.0369,0.0612,0.0153
2019-02-09,AAP,2019-02-15,170.00,Call,0.20,0.35,0.2542,0.1026,0.0313,-0.0742,0.0402,0.0031
2019-02-16,ED,2019-03-01,78.50,Put,0.85,1.00,0.1570,-0.4830,0.1677,-0.0322,0.0612,-0.0124
2019-02-16,ED,2019-03-01,80.00,Call,0.30,0.45,0.1475,0.2732,0.1467,-0.0284,0.0511,0.0081
2019-02-09,AAP,2019-02-15,170.00,Put,7.60,8.10,0.2650,-0.8922,0.0326,-0.0721,0.0415,-0.0176
2019-02-16,ED,2019-03-01,80.00,Put,1.70,1.90,0.1472,-0.7350,0.1508,-0.0235,0.0504,-0.0159
